company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover,eps_ratio,dividend_payout_ratio,id,company_name,roe_percentage,roce_percentage,roe_difference,roce_difference,category
ABB,Dec 2012,8.771929824561402,12.220205686630369,22.411128284389488,31.221020092735703,15.986769570011026,0.0,0,,Debt Free,0,0.0,1.822491730981257,68.0,25.0,ABB,Abbott India Ltd,34.9,46.0,12.488871715610511,14.778979907264297,Formula Difference
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,33.88324873096447,17.383669885864794,0.0,0,,Debt Free,0,0.0,1.9982440737489024,93.0,25.0,ABB,Abbott India Ltd,34.9,46.0,9.77309644670051,12.116751269035532,Formula Difference
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,33.29775880469584,16.666666666666664,0.0,0,,Debt Free,0,0.0,1.665938864628821,108.0,29.0,ABB,Abbott India Ltd,34.9,46.0,10.460298826040553,12.702241195304161,Formula Difference
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,30.543933054393307,15.77970297029703,0.0,0,138.33333333333334,,0,0.0,1.6175742574257426,120.0,29.0,ABB,Abbott India Ltd,34.9,46.0,13.561087866108785,15.456066945606693,Formula Difference
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,28.69502523431867,13.407550822846078,0.0,0,227.5,,0,0.0,1.40513068731849,130.0,31.0,ABB,Abbott India Ltd,34.9,46.0,14.928839221341022,17.30497476568133,Formula Difference
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,31.010041346721795,16.5976821192053,0.0,0,160.5,,0,0.0,1.365066225165563,189.0,29.0,ABB,Abbott India Ltd,34.9,46.0,11.21423508564678,14.989958653278205,Formula Difference
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,30.12948207171315,15.300918055083304,0.0,0,359.0,,0,0.0,1.2509350561033663,212.0,31.0,ABB,Abbott India Ltd,34.9,46.0,12.489641434262946,15.870517928286851,Formula Difference
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,29.04834996162701,16.718353538201296,0.07198683669271905,0,96.77777777777777,,0,175.0,1.153932901043135,279.0,90.0,ABB,Abbott India Ltd,34.9,46.0,10.506746194981488,16.95165003837299,Formula Difference
ABB,Mar 2021,16.03248259860789,21.392111368909514,26.5564950038432,33.46642468239565,17.994791666666668,0.058800922367409685,0,55.72222222222222,,0,153.0,1.1223958333333333,325.0,85.0,ABB,Abbott India Ltd,34.9,46.0,8.343504996156799,12.533575317604353,Formula Difference
ABB,Mar 2022,16.26297577854671,22.023203745165887,28.333333333333332,36.4064602960969,18.915719696969695,0.05390070921985816,0,61.31578947368421,,0,152.0,1.1631155303030303,376.0,73.0,ABB,Abbott India Ltd,34.9,46.0,6.566666666666666,9.593539703903097,Formula Difference
